Node,Interface,Status,Deployed_EPGs,Interface_Profile,Selector,Policy_Group,Switch_Profile
1002,eth1/43,down,None (Unbound),W7X-UCSX-FI-A-ifp,if-L1001-P43-UCSx-FI-A-P43-44,accbundle-ifpg-W7th-static-UCSx-FI-A-P43-44,1001-1002
1002,eth1/25,up,None (Unbound),W7X-UCSX-FI-A-ifp,W7X-UCSX-FI-A-ifsel,accbundle-W7X-UCSX-FI-A-ifpg,1001-1002
1002,eth1/26,up,None (Unbound),W7X-UCSX-FI-A-ifp,W7X-UCSX-FI-A-ifsel,accbundle-W7X-UCSX-FI-A-ifpg,1001-1002
1001,eth1/40,up,None (Unbound),w7x-cohesity-12_ifp,w7x-cohesity-12_ifsel,accbundle-w7x-cohesity-12_ifpg,1001-1002
1002,eth1/40,up,None (Unbound),w7x-cohesity-12_ifp,w7x-cohesity-12_ifsel,accbundle-w7x-cohesity-12_ifpg,1001-1002
1001,eth1/35,up,None (Unbound),w7x-cohesity-07_ifp,w7x-cohesity-07_ifsel,accbundle-w7x-cohesity-07_ifpg,1001-1002
1002,eth1/35,up,None (Unbound),w7x-cohesity-07_ifp,w7x-cohesity-07_ifsel,accbundle-w7x-cohesity-07_ifpg,1001-1002
1001,eth1/30,up,None (Unbound),w7x-cohesity-02_ifp,w7x-cohesity-02_ifsel,accbundle-w7x-cohesity-02_ifpg,1001-1002
1002,eth1/30,up,None (Unbound),w7x-cohesity-02_ifp,w7x-cohesity-02_ifsel,accbundle-w7x-cohesity-02_ifpg,1001-1002
1001,eth1/29,up,None (Unbound),w7x-cohesity-01_ifp,w7x-cohesity-01_ifsel,accbundle-w7x-cohesity-01_ifpg,1001-1002
1002,eth1/29,up,None (Unbound),w7x-cohesity-01_ifp,w7x-cohesity-01_ifsel,accbundle-w7x-cohesity-01_ifpg,1001-1002
1001,eth1/32,up,None (Unbound),w7x-cohesity-04_ifp,w7x-cohesity-04_ifsel,accbundle-w7x-cohesity-04_ifpg,1001-1002
1002,eth1/32,up,None (Unbound),w7x-cohesity-04_ifp,w7x-cohesity-04_ifsel,accbundle-w7x-cohesity-04_ifpg,1001-1002
1001,eth1/31,up,None (Unbound),w7x-cohesity-03_ifp,w7x-cohesity-03_ifsel,accbundle-w7x-cohesity-03_ifpg,1001-1002
1002,eth1/31,up,None (Unbound),w7x-cohesity-03_ifp,w7x-cohesity-03_ifsel,accbundle-w7x-cohesity-03_ifpg,1001-1002
1006,eth1/23,down,None (Unbound),ISQ-RPTSQL-04_P1,eth,accbundle-ISQ-RPTSQL-04_P1_ifpg,1006
1006,eth1/24,down,None (Unbound),ISQ-RPTSQL-04_P1,eth,accbundle-ISQ-RPTSQL-04_P1_ifpg,1006
